feature	metadata	name	value	coef	stderr	N	N.not.0	pval	qval
Bacteroides.cellulosilyticus	age	age	age	0.310374828360738	0.0303686683222049	1595	526	8.74816808788676e-24	3.67423059691244e-22
Bacteroides.cellulosilyticus	age	I(^2)	I(age^2)	-0.00305034605053288	0.000406536464406048	1595	526	1.03615799475702e-13	2.17593178898974e-12
Akkermansia.muciniphila	age	I(^2)	I(age^2)	0.00270641592995362	0.000442152632629531	1595	578	1.17185077977238e-09	1.64059109168134e-08
Bacteroides.eggerthii	age	I(^2)	I(age^2)	0.00199844326617737	0.000376827473419769	1595	309	1.29876290391659e-07	1.36370104911242e-06
Eubacterium.rectale	age	I(^2)	I(age^2)	0.00217183190719207	0.000417206318245362	1595	1318	2.18792200558417e-07	1.8378544846907e-06
Eubacterium.rectale	age	age	age	-0.152541169512296	0.0311657167561404	1595	1318	1.08664685125138e-06	7.60652795875967e-06
Escherichia.coli	age	I(^2)	I(age^2)	0.00170567627792194	0.000354975867150455	1595	975	1.69465490620728e-06	1.01679294372437e-05
Escherichia.coli	age	age	age	-0.1250073914556	0.0265170416819291	1595	975	2.64064908794068e-06	1.38634077116886e-05
Bacteroides.dorei	age	age	age	0.160161069000425	0.0361717524967632	1595	1048	1.01764917993063e-05	4.74902950634293e-05
Subdoligranulum.unclassified	age	age	age	0.0690355559410229	0.0159327594780019	1595	1546	1.5645410414328e-05	6.57107237401775e-05
Bacteroides.massiliensis	age	I(^2)	I(age^2)	0.00210597138064447	0.00049195005234532	1595	577	1.97413417041183e-05	7.53760319611788e-05
Akkermansia.muciniphila	age	age	age	-0.138192994672872	0.0330292306441286	1595	578	3.02299596285638e-05	0.000105804858699973
Bacteroides.eggerthii	age	age	age	-0.112063156417708	0.0281493778711802	1595	309	7.17480157901637e-05	0.000231801281783606
Bacteroides.dorei	age	I(^2)	I(age^2)	-0.0017528580997028	0.000484220651870094	1595	1048	0.000303987186157612	0.000911961558472836
Bacteroides.massiliensis	age	age	age	-0.125379951428137	0.0367491462115055	1595	577	0.000661758972017485	0.00185292512164896
Faecalibacterium.prausnitzii	age	I(^2)	I(age^2)	-0.000966845639938514	0.00028917536607878	1595	1534	0.000846848023356334	0.00222297606131038
Roseburia.intestinalis	age	age	age	0.102279774851108	0.0349355220143758	1595	1001	0.00346418505631824	0.00855857484502153
Roseburia.intestinalis	age	I(^2)	I(age^2)	-0.00129199079196454	0.000467671596634331	1595	1001	0.0058010093803411	0.0135356885541292
Prevotella.copri	age	age	age	-0.0972026514754095	0.035828846861137	1595	439	0.00674099401864585	0.0149011446727961
Subdoligranulum.unclassified	age	I(^2)	I(age^2)	-0.000540754894886657	0.000213287182621795	1595	1546	0.0113300743385515	0.0237931561109582
Bacteroides.caccae	age	age	age	0.090935594408814	0.0378075911153609	1595	1072	0.0162775714653849	0.0310753637066439
Eubacterium.siraeum	age	I(^2)	I(age^2)	0.00112362404904987	0.000466408632148393	1595	656	0.0161063020993262	0.0310753637066439
Bacteroides.thetaiotaomicron	age	I(^2)	I(age^2)	0.00101364854865427	0.00045356630278155	1595	1121	0.0255677298622398	0.0466888980093075
Bacteroides.uniformis	age	I(^2)	I(age^2)	-0.00097504933561024	0.000448193752683505	1595	1391	0.0297404955725195	0.0499640325618327
Parabacteroides.merdae	age	age	age	-0.078633656003105	0.0359876208470677	1595	911	0.0290345263377734	0.0499640325618327
Bacteroides.uniformis	age	age	age	0.0704591663812723	0.0334805081733948	1595	1391	0.0354946269805892	0.0573374743532594
Bacteroides.caccae	age	I(^2)	I(age^2)	-0.000907124168064804	0.000506119144134812	1595	1072	0.0732748761433194	0.113983140667386
Bacteroides.vulgatus	age	age	age	-0.055299580058766	0.0313912106993557	1595	1455	0.0783267070556764	0.117490060583515
Bacteroides.vulgatus	age	I(^2)	I(age^2)	0.000713500271418189	0.000420224939590463	1595	1455	0.0897242689521729	0.129945492965216
Parabacteroides.merdae	age	I(^2)	I(age^2)	0.000755867192400638	0.00048175573542864	1595	911	0.116852717841674	0.163593804978344
Bacteroides.stercoris	age	age	age	-0.0646190315942075	0.0429354198141952	1595	1063	0.132517502991362	0.17953984276249
Bacteroides.fragilis	age	age	age	-0.0574188611946203	0.0394428117044086	1595	891	0.145661371365046	0.191180549916623
Alistipes.putredinis	age	age	age	0.052682909758096	0.037949760532912	1595	940	0.165264279970829	0.21033635632651
Prevotella.copri	age	I(^2)	I(age^2)	0.000639107863679059	0.000479630274601873	1595	439	0.182888576081961	0.225921182218893
Bacteroides.ovatus	age	I(^2)	I(age^2)	-0.000495073771656583	0.000432063402029365	1595	1319	0.252037330094341	0.298336495002753
Faecalibacterium.prausnitzii	age	age	age	0.0245608243615562	0.0216016804107081	1595	1534	0.255716995716646	0.298336495002753
Eubacterium.siraeum	age	age	age	-0.0315410667274472	0.0348411773419189	1595	656	0.365455008880641	0.414840820891538
Bacteroides.stercoris	age	I(^2)	I(age^2)	0.000431572616044149	0.000574763884404168	1595	1063	0.452843563525732	0.487677683796942
Alistipes.putredinis	age	I(^2)	I(age^2)	-0.000384016074903812	0.00050802232447004	1595	940	0.449819973874017	0.487677683796942
Bacteroides.fragilis	age	I(^2)	I(age^2)	0.000159724173477759	0.000528009363019034	1595	891	0.762308991860532	0.800424441453559
Bacteroides.ovatus	age	age	age	0.00727409556003068	0.0322755553294915	1595	1319	0.82171702038717	0.841758898933199
Bacteroides.thetaiotaomicron	age	age	age	0.00445791936360439	0.033881842878291	1595	1121	0.895339250225656	0.895339250225656
